"violationid","buildingid","registrationid","boroid","boro","housenumber","lowhousenumber","highhousenumber","streetname","streetcode","zip","apartment","story","block","lot","class","inspectiondate","approveddate","originalcertifybydate","originalcorrectbydate","newcertifybydate","newcorrectbydate","certifieddate","ordernumber","novid","novdescription","novissueddate","currentstatusid","currentstatus","currentstatusdate","novtype","violationstatus","rentimpairing","latitude","longitude","communityboard","councildistrict","censustract","bin","bbl","nta"
"10081311","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206","5","3","3031","15","C","2013-12-30T00:00:00.000","2014-01-04T00:00:00.000","2014-01-19T00:00:00.000","2014-01-14T00:00:00.000",,,,"510","4752579","§ 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF HOT WATER EXCEEDING MAXIMUM TEMPERATURE LIMIT IN THE ENTIRE APARTMENT LOCATED AT APT 5, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH","2014-01-06T00:00:00.000","19","VIOLATION CLOSED","2014-01-25T00:00:00.000","Original","Close","N",,,,,,,,
"10299683","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206","1F","1","3031","15","A","2014-07-02T00:00:00.000","2014-07-07T00:00:00.000","2014-10-25T00:00:00.000","2014-10-11T00:00:00.000",,,,"556","4870762","§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL WALLS AND CEILING IN THE ENTIRE APARTMENT LOCATED AT APT 1F, 1st STORY, APARTMENT AT WEST","2014-07-08T00:00:00.000","19","VIOLATION CLOSED","2015-08-09T00:00:00.000","Original","Close","N",,,,,,,,
"10299685","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206","1F","1","3031","15","B","2014-07-02T00:00:00.000","2014-07-07T00:00:00.000","2014-08-26T00:00:00.000","2014-08-12T00:00:00.000",,,,"506","4870763","§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING ELECTRICAL OUTLET COVER AT NORTH WALL IN THE KITCHEN LOCATED AT APT 1F, 1st STORY, APARTMENT AT WEST","2014-07-08T00:00:00.000","19","VIOLATION CLOSED","2015-08-09T00:00:00.000","Original","Close","N",,,,,,,,
"10299686","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206","1F","1","3031","15","B","2014-07-02T00:00:00.000","2014-07-07T00:00:00.000","2014-08-26T00:00:00.000","2014-08-12T00:00:00.000",,,,"501","4870763","§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE VENTILATION SYSTEM IN THE KITCHEN LOCATED AT APT 1F, 1st STORY, APARTMENT AT WEST","2014-07-08T00:00:00.000","21","NOT COMPLIED WITH","2015-08-09T00:00:00.000","Original","Open","N",,,,,,,,
"10299690","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206","1F","1","3031","15","B","2014-07-02T00:00:00.000","2014-07-07T00:00:00.000","2014-08-26T00:00:00.000","2014-08-12T00:00:00.000",,,,"501","4870763","§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE VENTILATION SYSTEM IN THE BATHROOM LOCATED AT APT 1F, 1st STORY, APARTMENT AT WEST","2014-07-08T00:00:00.000","21","NOT COMPLIED WITH","2015-08-09T00:00:00.000","Original","Open","N",,,,,,,,
"10600720","805012","100420","1","MANHATTAN","144REAR","144rear","146 REAR","LUDLOW STREET","25090","10002",,,"411","45","I","2015-03-02T00:00:00.000","2015-03-02T00:00:00.000",,,,,,"780",,"SECTION27-2107 ADM CODE OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE ?27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",,"9","VIOLATION DISMISSED","2015-03-16T00:00:00.000",,"Close","N",,,,,,,,
"10767483","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206",,"1","3031","15","A","2015-06-30T00:00:00.000","2015-07-03T00:00:00.000","2015-10-23T00:00:00.000","2015-10-09T00:00:00.000",,,,"502","5152570","§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE FIRE RETARDANT MATERIAL AT CEILING AT PUBLIC HALL, 1st STORY","2015-07-06T00:00:00.000","19","VIOLATION CLOSED","2016-01-06T00:00:00.000","Original","Close","N",,,,,,,,
"10767484","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206",,"1","3031","15","A","2015-06-30T00:00:00.000","2015-07-03T00:00:00.000","2015-10-23T00:00:00.000","2015-10-09T00:00:00.000",,,,"556","5152570","§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT CEILING AT PUBLIC HALL, 1st STORY","2015-07-06T00:00:00.000","19","VIOLATION CLOSED","2016-01-06T00:00:00.000","Original","Close","N",,,,,,,,
"10842512","375411","306067","3","BROOKLYN","22 FRONT","22 FRON","22 FRONT","STAGG STREET","80930","11206","1","1","3031","15","A","2015-08-31T00:00:00.000","2015-09-01T00:00:00.000","2015-12-20T00:00:00.000","2015-12-06T00:00:00.000",,,,"502","5192184","§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD DOOR FRAME IN THE ENTRANCE LOCATED AT APT 1, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST","2015-09-02T00:00:00.000","2","NOV SENT OUT","2015-09-02T00:00:00.000","Original","Open","N",,,,,,,,
"10013160","68995","222908","2","BRONX","642","642","642","EAST 220 STREET","28230","10467",,"0","4654","21","B","2013-10-21T00:00:00.000","2013-10-22T00:00:00.000","2013-12-11T00:00:00.000","2013-11-27T00:00:00.000",,,,"686","4712864","§ 27-2040 ADM CODE PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING A MINIMUM OF 100 WATTS INCANDESCENT LIGHT REQUIRED. LIGHT FIXTURE PRESENT.","2013-10-23T00:00:00.000","19","VIOLATION CLOSED","2023-09-10T00:00:00.000","Original","Close","N","40.884774","-73.863995","12","12","392","2099579","2046540021","Williamsbridge-Olinville"
